topic,batch,topicsperbatch,keywords,vol,group,totaltopic,totalvol,extract
118,12,10,need|record|now|one|plan|energi|hottest|read|kill|#scienc,612,118,2,992,0
119,12,10,action|polici|pai|scienc|glacier|real|point|tip|malcolm|give,640,119,1,640,0
120,12,10,threat|sec|nation|richard|biggest|water|live|bigger|green|fail,383,120,1,383,0
121,13,10,govern|complet|intervent|scr|mention|wipe|led|coward|repo|georg,165,121,2,642,0
122,13,10,govt|repo|scr|intervent|parasit|ridden|ove|greed|#thedr|fear,162,122,1,162,0
123,13,10,scr|intervent|govern|repo|deinal|top|#notinmynam|environ|nice|govmnt,257,123,1,257,0
124,13,10,#greatbarrierreef|censor|repo|#reefgat|press|admit|offici|scienc|soviet|gov,511,124,1,511,0
125,13,10,impact|action|reef|great|barrier|new|real|renew|time|energi,1355,125,4,3361,4
126,13,10,#qanda|elect|deni|make|affect|#describethecoalit|massiv|fossil|water|cover,654,126,2,1122,0
127,13,10,need|major|malcolm|mitig|big|csiro|work|believ|scientist|job,510,16,3,1365,33
128,13,10,world|talk|iss|heritag|site|serio|risk|debat|voter|mention,564,128,1,564,0
129,13,10,scr|intervent|repo|orwel|#qldpol|govern|shock|spread|streisand|worri,365,129,1,365,0
130,13,10,remov|refer|effect|pai|exxon|stand|spot|warn|sharehold|weather,456,130,1,456,0
131,14,10,action|real|plan|job|agenda|secret|reveal|tape|stop|commit,351,78,4,1901,14
132,14,10,cover|forest|fear|kakad|tasmania|#insid|watch|#mediafail|fail|ignor,326,132,1,326,0
133,14,10,#leadersdeb|coal|red|address|stand|expo|leader|pari|wait|hope,674,133,1,674,0
134,14,10,malcolm|now|happen|act|believ|abbott|bill|kill|implement|lect,371,134,1,371,0
135,14,10,polit|talk|posit|marriag|good|contin|today|system|shoen|tax,427,135,1,427,0
136,14,10,great|reef|barrier|iss|bleach|coral|#scienc|elev|expos|coal,433,57,8,3501,1
137,14,10,need|#greatbarrierreef|scientist|warn|make|slow|threat|show|threaten|conveyor,859,63,2,1356,0
138,14,10,repo|risk|dark|homeown|govern|censor|mention|scr|remov|bank,477,121,2,642,0
139,14,10,polici|#thedr|labor|tackl|pai|liber|danger|hot|emiss|tweet,558,75,2,924,0
140,14,10,world|scienc|#qanda|govt|csiro|prod|#coal|nsw|peopl|concern,522,140,2,1190,0
141,15,10,world|real|chang|believ|scienc|serio|thing|happen|stori|biggest,610,56,3,1749,22
142,15,10,island|tho|rememb|home|tire|small|initi|fellowship|deadlin|tom,302,142,2,1033,0
143,15,10,time|need|now|#sydneystorm|top|#eastcoastlow|sta|stop|folk|research,559,36,4,1903,13
144,15,10,plan|action|back|carbon|coast|east|sad|ironi|dissapear|marker,468,144,1,468,0
145,15,10,make|weather|#qanda|iss|talk|event|elect|one|extrem|peopl,815,145,3,2110,15
146,15,10,sea|great|rise|level|#scienc|scientist|reef|risk|#climateact|barrier,692,22,4,1946,10
147,15,10,impact|coal|act|lead|new|vote|pai|lnp|good|deni,667,97,4,3292,5
148,15,10,malcolm|lose|hope|home|waterfront|swim|notic|blame|#abc|#climatechangeisr,156,148,1,156,0
149,15,10,storm|save|sydney|role|wild|love|hot|air|eastern|friend,368,149,1,368,0
150,15,10,#greatbarrierreef|polici|#lnp|barnabi|joyc|remind|minist|dep|prime|malcolm,362,114,2,815,0
151,16,10,action|need|elect|real|happen|voter|stori|ref|evid|care,559,31,2,823,0
152,16,10,reef|great|barrier|#gbr|stop|bill|save|back|advoc|tax,428,57,8,3501,1
153,16,10,scientist|flood|storm|one|home|believ|repo|rememb|tho|island,731,142,2,1033,0
154,16,10,#qanda|#climatefizza|agenda|thank|address|#thori|latest|tackl|disconnect|deal,336,154,2,682,0
155,16,10,polici|peopl|news|work|pai|vote|poll|serio|live|now,525,155,1,525,0
156,16,10,time|year|disast|warn|lnp|shoen|sta|act|malcolm|now,403,36,4,1903,13
157,16,10,plan|world|iss|sea|agre|fight|big|threat|event|polit,631,77,2,1264,0
158,16,10,impact|victoria|lead|denier|talk|nation|emiss|pledg|forget|weather,551,158,1,551,0
159,16,10,coal|gro|biggest|dozen|compani|renew|good|energi|make|nat,401,159,2,1081,0
160,16,10,new|#greatbarrierreef|#coal|protect|scienc|open|#qldpol|ignor|advis|larger,431,59,3,1541,26
161,17,10,scientist|emerg|record|show|warn|shatter|today|temperat|set|month,294,46,3,1470,27
162,17,10,reef|great|barrier|made|coral|complain|billboard|disappoint|sass|bleach,289,57,8,3501,1
163,17,10,mammal|wipe|speci|first|case|anthropogen|tip|endem|hawksbil|drown,401,163,1,401,0
164,17,10,elect|vote|need|coal|biggest|#coal|lnp|gro|tackl|coalit,680,159,2,1081,0
165,17,10,action|real|flood|demand|now|farmer|carbon|stop|farm|fight,527,7,3,1727,23
166,17,10,pai|polici|plan|#leadersdeb|labor|make|talk|lead|malcolm|nation,755,97,4,3292,5
167,17,10,extinct|first|rodent|mammal|play|declar|brambl|tilt|cay|claim,286,167,1,286,0
